squirrel_id,trapping_id,year,vial_number,poop_id,poop_time,comments
7836,74617,2007,1,44-07,1006,"NOT SURE IF LAC, NO MILK, NIPS CRUSTY"
7836,75046,2007,1,45-07,956,E7 midden
7836,75489,2007,1,46-07,940,
7836,75851,2007,1,47-07,1112,"Not preg (=palpated, P0)"
7836,76308,2007,1,48-07,1030,"Not preg (=palpated, P0)"
7836,76752,2007,1,49-07,1030,"Rmvd 151589. Tcrn st 14jul, palpated P0"
7836,77004,2007,1,50-07,NA,"Not preg (=palpated, P0)"
10183,73654,2007,1,51-07,NA,
10183,73988,2007,1,52-07,NA,
10183,74266,2007,1,53-07,1128,
10183,74592,2007,1,54-07,855,
10183,74702,2007,1,55-07,806,
10183,75185,2007,1,56-07,936,
10183,75449,2007,1,57-07,1137,
10183,75941,2007,1,58-07,NA,palpated P0
10183,76324,2007,1,59-07,936,palpated P0
10183,76756,2007,1,60-07,NA,P0
10183,77009,2007,1,61-07,NA,"Not preg (=palpated, P0)"
7704,73694,2007,1,62-07,NA,
7704,73860,2007,1,63-07,NA,Not handled
7704,74201,2007,1,64-07,1019,
7704,74660,2007,1,65-07,1149,
7704,75111,2007,1,66-07,1214,
7644,73650,2007,1,67-07,NA,
7644,75038,2007,1,68-07,1050,
7644,75485,2007,1,69-07,847,
7644,75845,2007,1,70-07,NA,"Not preg (=palpated, P0)"
10375,76401,2007,1,100-07,NA,
10270,78504,2007,1,135-07,NA,"INITIAL FMR, DID NOT SEX"
7603,73858,2007,1,30-07,NA,
7861,78362,2007,1,120-07,NA,"FINAL FMR, DID NOT READ TAGS OR SEX"
10624,75350,2007,1,142-07,1101,
13673,86802,2009,1,A0002,1359,NA
10272,86749,2009,1,A0003,1120,NA
13660,86788,2009,1,A0004,1256,NA
10127,86888,2009,1,A0004,1443,NA
10311,87663,2009,1,A0005,1212,NA
10324,86972,2009,1,A0006,1120,NA
10754,87147,2009,1,A0007,1156,NA
10752,86886,2009,1,A0008,1340,NA
10407,87018,2009,1,A0009,1040,NA
10062,87533,2009,1,A0012,1133,NA
11176,86926,2009,1,A0014,1250,NA
10127,87034,2009,1,A0015,1519,NA
10761,86834,2009,1,A0017,1354,NA
11190,86739,2009,1,A0018,1243,NA
10265,87356,2009,1,A0021,1649,NA
10062,87074,2009,1,A0022,1228,NA
13673,87769,2009,1,A0023,1152,NA
10102,86952,2009,1,A0025,1215,NA
10095,86840,2009,1,A0027,1228,NA
11159,86787,2009,1,A0028,1332,NA
10122,86854,2009,1,A0029,1208,NA
11200,87253,2009,1,A0030,1256,NA
13684,86853,2009,1,A0031,1524,NA
10456,87823,2009,1,A0032,955,NA
10187,86801,2009,1,A0033,1451,NA
10375,86763,2009,1,A0034,1006,NA
10280,86779,2009,1,A0035,1500,NA
10569,87621,2009,1,A0037,1115,very agitated;could not see lac nipples
10710,87768,2009,1,A0038,1202,NA
10148,86889,2009,1,A0039,1230,NA
10052,87765,2009,1,A0040,1135,NA
10344,86861,2009,1,A0041,1151,NA
10717,87624,2009,1,A0042,1127,NA
10086,87590,2009,1,A0043,1235,NA
10265,86762,2009,1,A0045,1330,NA
10182,87515,2009,1,A0046,1023,NA
10761,87529,2009,1,A0047,945,NA
10191,87059,2009,1,A0048,1355,NA
10353,87016,2009,1,A0049,1220,NA
10067,86875,2009,1,A0050,1103,NA
11189,86724,2009,1,A0051,1412,NA
10701,86884,2009,1,A0052,1120,NA
10752,87584,2009,1,A0053,1243,NA
10155,87299,2009,1,A0054,1302,NA
10264,87076,2009,1,A0055,1345,NA
11208,86725,2009,1,A0057,1259,NA
10646,86883,2009,1,A0058,1144,NA
10134,86772,2009,1,A0059,1430,NA
10417,86869,2009,1,A0060,1059,NA
10127,87888,2009,1,A0061,1120,NA
10544,87894,2009,1,A0063,1409,NA
10253,87012,2009,1,A0064,1100,NA
10156,86729,2009,1,A0065,1421,NA
10336,86990,2009,1,A0065,1307,NA
10112,86970,2009,1,A0066,1105,NA
10219,86706,2009,1,A0067,1251,NA
10594,89919,2009,1,A0068,949,weight seems big; possibly read wrong
10393,87645,2009,1,A0069,1355,NA
10657,86967,2009,1,A0071,1108,NA
10610,87027,2009,1,A0072,1431,NEEDS 2ND DNA
10346,86818,2009,1,A0073,1515,NA
8746,89301,2009,1,A0076,1141,NA
10156,86910,2009,1,A0079,1438,NA
11188,87808,2009,1,A0080,1313,NA
10688,86736,2009,1,A0081,1347,NA
10456,86827,2009,1,A0082,1242,NA
10646,87580,2009,1,A0083,1236,NA
10638,87480,2009,1,A0084,1244,NA
10206,87719,2009,1,A0085,1340,NA
10373,87420,2009,1,A0087,1341,NA
10336,88854,2009,1,A0088,1027,NA
11212,89347,2009,1,A0090,1050,NA
10304,86694,2009,1,A0092,1422,Squirrel got loose before checking nipples
10679,87784,2009,1,A0093,1406,NA
10517,87000,2009,1,A0094,1225,NA
10085,87563,2009,1,A0095,1020,NA
10399,86904,2009,1,A0096,1434,NA
13653,87587,2009,1,A0097,1046,NA
10219,87566,2009,1,A0098,1111,NA
10140,87514,2009,1,A0099,1001,NA
10393,86792,2009,1,A0101,1254,NA
13665,87845,2009,1,A0102,1256,NA
10352,86782,2009,1,A0103,1230,NA
11208,88028,2009,1,A0104,1213,NA
13683,86745,2009,1,A0105,1127,NA
10689,86737,2009,1,A0107,1437,NA
13677,87391,2009,1,A0108,1224,NA
10219,86878,2009,1,A0109,1430,NA
13665,87078,2009,1,A0110,1152,NA
10307,87817,2009,1,A0111,1315,NA
10414,86819,2009,1,A0112,1245,NA
10307,86826,2009,1,A0113,1225,NA
13668,87648,2009,1,A0114,1405,NA
10240,87112,2009,1,A0117,1221,NA
11164,87831,2009,1,A0118,1045,NA
10183,86761,2009,1,A0119,1530,NA
10627,87654,2009,1,A0121,1034,NA
13673,87973,2009,1,A0123,1237,NA
13688,87711,2009,1,A0125,1122,NA
11164,86935,2009,1,A0126,1115,NA
13653,86807,2009,1,A0127,1222,NA
13692,86698,2009,1,A0128,1305,NA
10646,86708,2009,1,A0129,1147,NA
11169,86847,2009,1,A0130,1449,NA
10307,87570,2009,1,A0131,1247,NA
13677,87705,2009,1,A0132,1151,NA
10639,87838,2009,1,A0133,1038,NA
10077,87031,2009,1,A0134,1355,NA
10569,87527,2009,1,A0135,1245,NA
11205,86740,2009,1,A0136,1210,NA
10372,87804,2009,1,A0138,1120,NA
10352,87525,2009,1,A0141,1130,NA
10181,86922,2009,1,A0142,1245,NA
11206,86850,2009,1,A0143,1235,NA
13666,89677,2009,1,A0143,935,NA
10688,87042,2009,1,A0144,1300,NA
10167,87565,2009,1,A0145,1335,NA
10137,88380,2009,1,A0147,1012,NA
11188,86898,2009,1,A0148,1345,NA
10327,86892,2009,1,A0149,1321,NA
10126,86803,2009,1,A0150,1334,NA
10405,86950,2009,1,A0151,1510,pesola not found
10645,86785,2009,1,A0152,1400,NA
10629,87247,2009,1,A0153,1315,Swollen vulva
10067,86717,2009,1,A0154,1353,NA
10134,87057,2009,1,A0155,1334,NA
10145,87145,2009,1,A0156,1255,NA
10627,86863,2009,1,A0157,1205,NA
10061,87131,2009,1,A0158,1157,NA
10596,86894,2009,1,A0159,1159,NA
10155,86930,2009,1,A0160,1316,NA
10762,87530,2009,1,A0162,1000,NA
10167,87011,2009,1,A0164,1145,NA
10171,87523,2009,1,A0165,1350,NA
11157,87664,2009,1,A0166,1300,NA
13676,87390,2009,1,A0167,1211,NA
10750,87882,2009,1,A0168,1435,NA
10402,87573,2009,1,A0169,1220,NA
11208,88460,2009,1,A0170,952,NA
13683,87863,2009,1,A0171,1136,NA
10190,86718,2009,1,A0172,1436,NA
10748,86769,2009,1,A0173,1355,NA
10342,86924,2009,1,A0174,1030,NA
10242,87749,2009,1,A0175,1320,NA
10422,87914,2009,1,A0176,1136,NA
13670,86964,2009,1,A0178,1300,NA
10262,86778,2009,1,A0179,1350,NA
13677,86780,2009,1,A0180,1324,NA
10353,86794,2009,1,A0181,1330,NA
10752,86710,2009,1,A0182,1441,NA
13663,86744,2009,1,A0183,1320,NA
13664,86776,2009,1,A0184,1344,NA
10401,86752,2009,1,A0185,1232,NA
11208,87868,2009,1,A0187,1148,NA
13670,86856,2009,1,A0188,1217,NA
10095,87748,2009,1,A0190,1232,NA
10712,87412,2009,1,A0192,1056,NA
10402,87821,2009,1,A0193,1115,NA
13660,87790,2009,1,A0194,1119,NA
10102,86887,2009,1,A0195,1340,LAC? couldn't get milk
10413,87675,2009,1,A0196,1010,NA
10401,87707,2009,1,A0197,1400,"lost litter, pregnant again! First capture since 24 March"
10373,86876,2009,1,A0198,1543,NA
10650,86713,2009,1,A0200,1216,NA
10131,86992,2009,1,A0201,1415,NA
10422,86790,2009,1,A0202,1407,NA
10226,87038,2009,1,A0203,1421,Released after reading tags as female was handled 2 days ago
10762,86697,2009,1,A0204,1413,NA
13661,86726,2009,1,A0205,1330,NA
10706,87090,2009,1,A0206,1420,NA
10750,86934,2009,1,A0207,1158,NA
10327,86751,2009,1,A0208,1355,NA
10677,87121,2009,1,A0210,1335,NA
10762,86835,2009,1,A0212,1210,NA
10594,87409,2009,1,A0214,1209,"Had a notch in the right ear, missed nest?"
10610,87386,2009,1,A0215,1248,NA
10334,86817,2009,1,A0216,1415,NA
11190,86920,2009,1,A0217,1339,NA
10112,86824,2009,1,A0218,1325,NA
13672,86857,2009,1,A0219,1423,NA
10390,86931,2009,1,A0220,1430,NA
10112,87773,2009,1,A0221,1059,NA
11175,86867,2009,1,A0225,1454,NA
10215,86859,2009,1,A0226,1425,NA
10182,86994,2009,1,A0227,1500,NA
13670,87731,2009,1,A0228,1006,NA
10271,86773,2009,1,A0230,1129,NA
10467,87577,2009,1,A0231,1056,NA
10087,86815,2009,1,A0232,1327,lac? Couldn't get any milk
10096,87032,2009,1,A0234,1516,NA
11206,87219,2009,1,A0235,NA,NA
10467,86828,2009,1,A0237,1431,NA
11159,87830,2009,1,A0238,1011,NA
10544,86753,2009,1,A0239,1347,"L ear notched; possible mating chase, two uncolored males in tree, one buzzing"
10106,86727,2009,1,A0240,1314,NA
11204,86929,2009,1,A0242,1255,NA
10645,86933,2009,1,A0243,1450,NA
10717,86786,2009,1,A0244,1450,NA
10311,86913,2009,1,A0246,1244,NA
10712,86917,2009,1,A0247,1446,NA
10688,86846,2009,1,A0248,1444,NA
10465,87575,2009,1,A0249,1039,NA
10311,87257,2009,1,A0250,1306,NA
10295,87509,2009,1,A0251,1240,"Pezola lost, couldn't take weight"
10140,86993,2009,1,A0252,1149,NA
10198,87649,2009,1,A0253,1225,NA
10311,88495,2009,1,A0255,1135,NA
13667,87375,2009,1,A0256,1353,released (been handled for less than 3 days)
10087,86957,2009,1,A0257,1137,NA
10375,87463,2009,1,A0257,1114,NA
10219,87300,2009,1,A0258,1023,NA
10748,87231,2009,1,A0259,1217,NA
10137,87098,2009,1,A0260,1438,NA
10113,87152,2009,1,A0261,1205,Old colours from 2007
10077,87393,2009,1,A0262,1325,NA
10577,87623,2009,1,A0263,1052,bleeding nose
10643,87186,2009,1,A0264,1215,NA
10346,87262,2009,1,A0266,1119,NA
10395,87361,2009,1,A0267,1215,NA
10752,87125,2009,1,A0268,1103,NA
10331,87404,2009,1,A0272,1355,NA
10127,87280,2009,1,A0274,1226,"Collar was rubbing on neck, seemed to have rubbed off some skin but not sure."
10156,87208,2009,1,A0275,1419,NA
10308,87892,2009,1,A0277,1314,"left eye wounded and bleeding, half-closed"
10757,87333,2009,1,A0279,1249,NA
10095,87081,2009,1,A0280,1311,NA
10643,87611,2009,1,A0281,1129,NA
13666,87115,2009,1,A0282,1145,NA
11208,87680,2009,1,A0283,1223,NA
10190,87670,2009,1,A0286,1154,NA
10761,87127,2009,1,A0287,1003,NA
11177,87233,2009,1,A0287,1128,NA
10312,87403,2009,1,A0288,1137,NA
11159,87071,2009,1,A0289,1020,Swollen vulva
10327,87087,2009,1,A0290,1050,NA
13684,87096,2009,1,A0292,1456,NA
13660,87501,2009,1,A0293,1222,NA
10126,87064,2009,1,A0296,1400,NA
10304,87198,2009,1,A0297,945,NA
10393,87109,2009,1,A0298,1340,NA
10402,87307,2009,1,A0298,1337,NA
11159,87500,2009,1,A0299,1330,NA
10571,87069,2009,1,A0300,1100,Swollen vulva
10183,87757,2009,1,A0301,1006,NA
10640,87055,2009,1,A0302,1138,NA
10650,87499,2009,1,A0303,1128,NA
11198,87312,2009,1,A0304,1005,NA
10293,87400,2009,1,A0305,1305,COLOURS WERE FROM LAST YEAR BUT WERE LEFT IN
10456,87118,2009,1,A0306,1055,NA
13655,87642,2009,1,A0307,1054,NA
11171,87106,2009,1,A0308,1423,NA
11157,87452,2009,1,A0309,1021,NA
10699,87366,2009,1,A0310,1300,NA
13676,87846,2009,1,A0311,1125,NA
10657,87372,2009,1,A0313,1129,NA
10272,87173,2009,1,A0315,1241,NA
13688,87221,2009,1,A0316,1027,NA
10342,87462,2009,1,A0317,949,NA
13673,87151,2009,1,A0319,1233,NA
10311,87402,2009,1,A0320,1010,NA
10710,86946,2009,1,A0321,1235,NA
13660,87073,2009,1,A0322,1043,NA
13663,87415,2009,1,A0323,1235,NA
13663,87259,2009,1,A0324,1103,NA
10122,87049,2009,1,A0325,1120,NA
10472,87308,2009,1,A0327,1017,NA
10213,87270,2009,1,A0328,1130,NA
10757,86948,2009,1,A0329,1323,NA
10336,87405,2009,1,A0330,1036,NA
10213,87524,2009,1,A0331,1355,NA
10689,87545,2009,1,A0333,950,nipples look suspiciously like LL
10717,87159,2009,1,A0334,1350,NA
13672,87473,2009,1,A0335,1141,NA
10589,87610,2009,1,A0335,1237,NA
10747,87192,2009,1,A0338,1033,NA
10127,87395,2009,1,A0339,1345,NA
10755,87056,2009,1,A0340,1057,NA
10206,87051,2009,1,A0341,1332,NA
11190,87218,2009,1,A0342,1250,NA
10408,87230,2009,1,A0343,1209,NA
10081,87489,2009,1,A0343,1255,NA
10289,86944,2009,1,A0344,1345,NA
10661,87113,2009,1,A0346,1443,NA
10419,87652,2009,1,A0347,1421,NA
10307,87304,2009,1,A0348,1037,NA
10762,87128,2009,1,A0349,1015,NA
10102,87506,2009,1,A0350,1154,Female started gasping so released without completing handling
10352,87615,2009,1,A0352,1249,NA
10748,87763,2009,1,A0354,1153,NA
10587,87363,2009,1,A0356,1207,NA
10119,87774,2009,1,A0358,1155,NA
10167,87269,2009,1,A0360,1028,NA
10575,87895,2009,1,A0362,1354,NA
10126,87298,2009,1,A0363,1330,NA
13683,87453,2009,1,A0364,1058,NA
10517,87465,2009,1,A0365,1059,NA
10165,87448,2009,1,A0366,1003,NA
10148,87035,2009,1,A0367,1236,NA
10226,86986,2009,1,A0368,1330,NA
10753,87472,2009,1,A0369,951,NA
10304,87569,2009,1,A0370,947,NA
10422,87605,2009,1,A0371,1038,NA
13683,87665,2009,1,A0372,1006,NA
10240,87475,2009,1,A0373,1112,NA
10112,87195,2009,1,A0374,1010,NA
10407,87822,2009,1,A0376,1220,NA
10317,88381,2009,1,A0377,854,NA
13666,87239,2009,1,A0378,1232,"released, been handled for less than 3 days"
10271,87429,2009,1,A0380,1207,NA
13672,87869,2009,1,A0381,959,NA
10137,87283,2009,1,A0382,1425,NA
11175,87701,2009,1,A0384,1043,NA
10143,87050,2009,1,A0385,1116,NA
10226,87601,2009,1,A0386,1123,NA
10112,87378,2009,1,A0387,1228,NA
10640,87364,2009,1,A0388,1304,NA
11212,87264,2009,1,A0390,1319,NA
10119,87564,2009,1,A0392,1224,NA
10119,87116,2009,1,A0393,1120,NA
13683,87899,2009,1,A0394,1321,NA
10352,87271,2009,1,A0395,1112,NA
10336,87857,2009,1,A0396,1125,NA
10422,87041,2009,1,A0397,1058,NA
10317,87323,2009,1,A0399,1336,"In estrus, mating chase today"
10324,87380,2009,1,A0401,1116,NA
10391,87287,2009,1,A0402,1046,NA
10399,87338,2009,1,A0403,1031,NA
10298,87722,2009,1,A0405,1340,NA
10544,87089,2009,1,A0406,1139,NA
10122,87669,2009,1,A0407,1149,NA
13666,87487,2009,1,A0408,1300,NA
10149,87184,2009,1,A0409,1325,NA
10405,87431,2009,1,A0410,1107,NA
10145,87551,2009,1,A0411,1008,NA
10712,87091,2009,1,A0413,1435,NA
10407,87492,2009,1,A0415,1115,NA
10390,87337,2009,1,A0416,1320,NA
10578,87423,2009,1,A0418,1110,NA
10278,87290,2009,1,A0419,1149,NA
10661,87481,2009,1,A0420,1330,small nipples
10701,87737,2009,1,A0421,1305,NA
10719,87606,2009,1,A0422,1104,NA
10342,87229,2009,1,A0423,1018,NA
10701,87276,2009,1,A0424,1015,NA
10334,87329,2009,1,A0425,1328,NA
11188,87368,2009,1,A0426,1233,NA
10318,87227,2009,1,A0427,1149,NA
10190,87416,2009,1,A0429,1248,NA
13667,87268,2009,1,A0430,1245,NA
10393,87421,2009,1,A0431,1106,NA
10643,87807,2009,1,A0434,1101,NA
10407,87272,2009,1,A0435,1245,NA
10335,87436,2009,1,A0436,1220,Old colours from 2007
10148,87169,2009,1,A0437,931,NA
11164,87442,2009,1,A0438,1030,NA
11177,87467,2009,1,A0439,1124,NA
10593,87408,2009,1,A0440,1345,NA
10181,87457,2009,1,A0441,1132,NA
10592,87510,2009,1,A0442,1240,Had a notch in the left ear - missed nest?
10226,87210,2009,1,A0444,1219,NA
10412,88239,2009,1,A0446,855,NA
10347,88456,2009,1,A0446,930,NA
10750,87342,2009,1,A0448,1310,NA
10374,87357,2009,1,A0449,1705,NA
10347,87419,2009,1,A0449,1207,NA
10706,87451,2009,1,A0450,1230,NA
10344,87733,2009,1,A0451,1015,NA
10334,88534,2009,1,A0452,933,NA
11206,86942,2009,1,A0453,1310,NA
10265,87925,2009,1,A0454,1404,NA
10137,87713,2009,1,A0455,1150,NA
13670,87369,2009,1,A0456,1107,NA
10645,87383,2009,1,A0457,1015,NA
13663,87898,2009,1,A0458,1330,NA
10342,87926,2009,1,A0460,1336,NA
10223,87037,2009,1,A0461,1212,NA
10747,87483,2009,1,A0462,1155,VERY CALM.
10750,87583,2009,1,A0464,1153,NA
10609,87592,2009,1,A0465,1118,NA
11206,87918,2009,1,A0467,1115,NA
10363,87723,2009,1,A0468,1323,NA
10399,87572,2009,1,A0469,1109,NA
10312,87634,2009,1,A0470,1345,NA
10722,87325,2009,1,A0472,1254,NA
10331,87855,2009,1,A0473,1200,NA
10712,87897,2009,1,A0474,1137,NA
10569,87274,2009,1,A0475,1105,NA
10717,87384,2009,1,A0476,1210,NA
10593,87637,2009,1,A0478,1330,NA
10203,87599,2009,1,A0479,1154,NA
10373,87674,2009,1,A0481,1410,NA
10687,87541,2009,1,A0482,1020,NA
10401,86939,2009,1,A0483,1125,NA
13672,88244,2009,1,A0484,1057,NA
10334,87673,2009,1,A0486,1025,NA
10231,87865,2009,1,A0488,1126,NA
11194,87594,2009,1,A0489,1334,NA
10689,86955,2009,1,A0490,1407,NA
10335,87650,2009,1,A0491,1021,NA
11179,87842,2009,1,A0494,1333,NA
10627,87382,2009,1,A0495,945,NA
10062,87834,2009,1,A0496,1352,NA
11198,87787,2009,1,A0497,1200,NA
10183,87224,2009,1,A0498,1311,NA
10061,87588,2009,1,A0499,1310,NA
10416,91170,2009,1,A0500,921,Escaped; ht:21
10253,89740,2009,1,A0501,1006,NA
10593,89918,2009,1,A0503,950,NA
11080,92149,2009,1,A0504,940,HT 6. Right notch?
10399,89743,2009,1,A0505,NA,NA
10699,90832,2009,1,A0506,832,HT 8
10122,90822,2009,1,A0507,1016,HT 20
10657,89422,2009,1,A0508,1207,Dropped within the past 24 hours; N1 done today.
10171,89369,2009,1,A0509,1143,NA
10395,90117,2009,1,A0510,916,NA
11164,89448,2009,1,A0512,1158,NA
10702,89695,2009,1,A0513,935,NA
10735,90068,2009,1,A0515,2138,NA
10219,90466,2009,1,A0516,1020,HT=18; OFT=15
10191,90988,2009,1,A0517,1428,NA
10183,89772,2009,1,A0518,951,HT 16
8746,89616,2009,1,A0519,1007,NA
13653,89221,2009,1,A0521,1126,NA
10155,89505,2009,1,A0522,932,NA
10374,90542,2009,1,A0523,920,HT 2; escaped before palpating
10160,89883,2009,1,A0524,1007,HT 5;
10291,89758,2009,1,A0527,1201,NA
11159,89218,2009,1,A0528,930,NA
11169,89311,2009,1,A0529,1113,NA
10206,89999,2009,1,A0531,855,NA
10122,89872,2009,1,A0532,849,NA
10215,89604,2009,1,A0533,945,NA
10356,90826,2009,1,A0534,903,HT 0
10650,89693,2009,1,A0535,1021,NA
10393,89929,2009,1,A0536,906,NA
10679,89611,2009,1,A0537,1111,NA
10145,89631,2009,1,A0538,1223,Released
10417,89621,2009,1,A0539,1119,NA
13666,90510,2009,1,A054,1016,HT 7
10650,90473,2009,1,A0542,920,HT=16; OFT=22
10292,89909,2009,1,A0543,1057,NA
10712,89765,2009,1,A0544,953,NA
10363,90002,2009,1,A0546,1042,NA
13665,89760,2009,1,A0547,1100,NA
10624,89691,2009,1,A0548,934,NA
10181,89771,2009,1,A0549,920,HT 19
10160,88395,2009,1,A0550,922,NA
10280,88999,2009,1,A0551,1112,NA
10061,87998,2009,1,A0553,1318,NA
10291,88099,2009,1,A0554,940,NA
10724,88208,2009,1,A0555,1034,Recorded right tag wrong and changed according to colour key
10402,88079,2009,1,A0558,927,NA
13677,88442,2009,1,A0559,1150,NA
11175,88267,2009,1,A0562,1049,NA
10112,88406,2009,1,A0562,922,HT 9 big p2
13667,90920,2009,1,A0565,905,HT 20. No poop cup. Nipples v sd.
11159,89750,2009,1,A0566,1052,NA
13688,89627,2009,1,A0567,1030,NA
11198,89452,2009,1,A0568,944,NA
10727,89308,2009,1,A0570,1043,NA
11177,89787,2009,1,A0571,900,HT 15
11159,88425,2009,1,A0574,1143,NA
10133,92805,2009,1,A0578,2155,HT 15. Wean? Face looks worse.
10184,90540,2009,1,A0580,1113,HT 15
11159,90638,2009,1,A0581,1109,HT: 23s
10096,91834,2009,1,A0582,1207,Released
10405,90457,2009,1,A0584,954,HT 2
10750,89445,2009,1,A0587,1004,HT 9; took rc of b/c cant get N2
10253,90623,2009,1,A0588,1005,NA
11198,89169,2009,1,A0589,937,HT 11
10265,89924,2009,1,A0591,1153,HT 4; OFT 21
10112,89602,2009,1,A0595,1040,NA
10405,90195,2009,1,A0596,1203,NA
11192,89450,2009,1,A0597,914,NA
10393,90181,2009,1,A0598,921,NA
10271,89261,2009,1,A0599,1055,NA
10661,92870,2009,1,A0599,1156,HT 18
10661,90749,2009,1,A0600,1017,HT 26. Fed in tree.
10344,89511,2009,1,A0601,900,NA
11170,87959,2009,1,A0602,1111,NA
10112,89271,2009,1,A0603,909,NA
11206,88276,2009,1,A0605,805,NA
10191,91808,2009,1,A0606,858,HT 0. V squirmy in bag.
13672,89045,2009,1,A0607,916,NA
10271,90955,2009,1,A0607,1025,HT=14; OFT=9
10062,88997,2009,1,A0609,1048,NA
10239,88000,2009,1,A0610,1154,NA
10762,88097,2009,1,A0611,945,NA
10646,88419,2009,1,A0612,1203,HT 11
10155,89163,2009,1,A0613,1146,HT 0
10239,88098,2009,1,A0615,1037,NA
10335,89742,2009,1,A0616,1037,NA
10133,89350,2009,1,A0617,1112,Ate in a tree after released.
13659,89615,2009,1,A0618,1051,NA
